"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"10419","3.35196687","4.83E-5","0.2983323","0.60714286","8","7","false","CASS4","24.375","8","0","0","0.73867035","false","0","CASS4","1066","0.17572464"
"10420","3.09247757","0.00187087","0.32336532","0.2","16","7","false","RIN3","25.0625","16","0","0","0.76750249","false","0","RIN3","53538","0.09681373"
"10424","3.17391304","1.2402E-4","0.31506849","0.1","5","6","false","CDC42EP3","44.6","5","0","0","0.75845411","false","0","CDC42EP3","3504","0.22335025"
"10430","3.63768116","8.2969E-4","0.2749004","0.0","4","6","false","CATIP","12.5","4","0","0","0.70692432","false","0","CATIP","17872","0.25555556"
"10433","3.54796411","2.9811E-4","0.28185178","0.0","5","6","false","CTDSP2","12.6","5","0","0","0.71689288","false","0","CTDSP2","4212","0.20350877"
"10435","4.42857143","1.289E-5","0.22580645","0.0","2","7","false","ROPN1L","4.0","2","0","0","0.61904762","false","0","ROPN1L","162","0.5"
"10437","3.09247757","0.00261787","0.32336532","0.12121212","12","6","false","CBFA2T3","28.16666667","12","0","0","0.76750249","false","0","CBFA2T3","58586","0.10797665"
"10440","3.8226363","5.365E-5","0.26159957","0.0","3","7","false","ZBTB47","10.0","3","0","0","0.68637374","false","0","ZBTB47","660","0.33333333"
"10447","3.37060041","0.00181976","0.29668305","0.06666667","6","6","false","ZNF687","18.16666667","6","0","0","0.73659995","false","0","ZNF687","42196","0.17156863"
"10449","2.95514148","8.803E-4","0.33839327","0.2745098","18","6","false","PLXNA2","46.88888889","18","0","0","0.78276206","false","0","PLXNA2","27600","0.14089692"
"10451","4.00138026","4.876E-5","0.24991376","0.33333333","3","7","false","KLHDC8B","7.33333333","3","0","0","0.6665133","false","0","KLHDC8B","738","0.36842105"
"10453","2.91925466","0.00228253","0.34255319","0.13071895","18","6","false","TAL1","32.16666667","18","0","0","0.78674948","false","0","TAL1","57384","0.08503704"
"10472","3.0","3.6224E-4","0.33333333","0.32380952","15","6","false","NEURL1","39.86666667","15","0","0","0.77777778","false","0","NEURL1","13744","0.13654066"
"10484","3.02484472","7.897E-4","0.33059548","0.64444444","10","6","false","LAT2","75.2","10","0","0","0.77501725","false","0","LAT2","29314","0.23250774"
"10491","2.97929607","0.00196759","0.33564976","0.21978022","14","6","false","TNFRSF11A","47.0","14","0","0","0.78007821","false","0","TNFRSF11A","62012","0.13236481"
"10494","2.78329883","9.9846E-4","0.35928589","0.26","25","6","false","TGFA","43.88","25","0","0","0.80185569","false","0","TGFA","32456","0.09152401"
"10498","2.73429952","5.9087E-4","0.36572438","0.27076923","26","6","false","EPHB1","61.19230769","26","0","0","0.80730005","false","0","EPHB1","29182","0.11516732"
"10506","2.8426501","6.8961E-4","0.35178441","0.2748538","19","6","false","SH3GL1","46.36842105","19","0","0","0.7952611","false","0","SH3GL1","21646","0.10526316"
"10510","2.80331263","2.8008E-4","0.35672083","0.45882353","35","6","false","IL4R","64.82857143","35","0","0","0.79963193","false","0","IL4R","18994","0.13590895"
