	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
MZF1-AS1	-0.483541385715173	0.634107017023754	-1.54919136914891	0.152144853654181	0.872378834614433	-4.55190727694348	Stable
PCNT	0.125904753950068	5.61460327354558	1.25538428150777	0.237668159899306	0.875357662324813	-4.55198034471466	Stable
DOK7	-0.450046455030576	0.73806171473582	-1.58906334293241	0.14289614416329	0.869511647776966	-4.5520025818952	Stable
IQCB1	0.237823224053857	3.76576400175134	1.22971349768445	0.246741041454704	0.875913265932986	-4.55201638568298	Stable
LINC02972	0.438917431027132	6.98271270035856	1.24504222640873	0.241290212078108	0.875881852708901	-4.55201719782353	Stable
SHB	-0.760975311790017	0.138467506723584	-1.70840553159744	0.118126494059118	0.857265311192949	-4.5520518485448	Stable
DYRK4	0.268724586357088	2.52352712716288	1.24905138482715	0.239880811423178	0.875719777324291	-4.55210538873101	Stable
SNHG32	0.218860778655948	5.21718676756799	1.25292916647732	0.23852397206352	0.8756707764429	-4.55216689326354	Stable
ZNF628	-0.151662518210197	2.82204534717816	-1.23868520709569	0.243538770308981	0.875913265932986	-4.55230652272065	Stable
H2BC12	-0.217483848783516	4.25084779175346	-1.23145972244405	0.246115106514402	0.875913265932986	-4.5523660691344	Stable
CYP2E1	-0.915983965130795	-0.600143785481294	-2.00862484403305	0.0721228100151594	0.854474666675172	-4.55245226103783	Stable
GTF2IP4	-0.249960004163856	7.15387661319122	-1.24406144746805	0.241636022438161	0.875881852708901	-4.5524672008651	Stable
SCUBE3	0.834725057159546	-0.61846542611873	1.87275789776235	0.0903691783682835	0.857265311192949	-4.5524691938965	Stable
FAM126B	-0.275870223339211	6.30423715177298	-1.25307583191956	0.23847277655207	0.8756707764429	-4.55249484656362	Stable
MIRLET7BHG	-0.362611285082584	2.84831441554947	-1.24621925434602	0.24087573754524	0.875719777324291	-4.55249559688642	Stable
TRAF4	0.201364789033003	3.30114786799187	1.22930010464406	0.246889410561883	0.875925267836676	-4.55251471887685	Stable
RPL32	0.29945877079971	8.38443902790378	1.2299060232513	0.24667196753689	0.875913265932986	-4.55251730889021	Stable
H2BC5	-0.341369323843838	2.36371398974772	-1.27838267356649	0.22977236504558	0.875122405814658	-4.55252346056229	Stable
LPCAT2	-0.28209560655609	6.47454400172949	-1.25152250214094	0.23901544143415	0.8756707764429	-4.55255808039608	Stable
COX7B	0.183162413079423	3.63293962196664	1.22798735857888	0.247361040598244	0.876601400690875	-4.55256597918457	Stable
FSD1	0.504419976373489	0.879325700818343	1.39800969184759	0.192118907234965	0.872378834614433	-4.55262880245401	Stable
IL17RB	0.428363172085515	0.726846020339938	1.49295880155808	0.166079303581817	0.872378834614433	-4.55270091645578	Stable
TMEM241	0.287249817419195	1.22827433399476	1.40013879133773	0.19149889926528	0.872378834614433	-4.55272626005507	Stable
