"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","change_type"
"CYP4V2",0.0570006163043919,4.55282233644605,0.502301207731861,0.627565198932015,0.959338716895225,-5.3517357420001,"Stable","stable_up"
"TRAT1",0.232475279871434,4.32076361814572,2.40870167248068,0.0394426275093274,0.825819064074335,-3.51569460036618,"Stable","stable_up"
"ZC3H8",0.154842588244152,3.34976718235795,1.6952393389055,0.124412164872222,0.85561240240808,-4.2865810171577,"Stable","stable_up"
"RORA",0.257295659079118,6.33181984657428,1.98357815210504,0.0787408087151016,0.834044371394232,-4.03285236003599,"Stable","stable_up"
"NCALD",0.145668109607093,4.28737288315619,1.36209746510741,0.206416857906605,0.873649874075823,-4.68864296370004,"Stable","stable_up"
"MRPS33",0.126500406249079,2.5909910986576,1.21025323259724,0.257133790468362,0.89609283102306,-4.65026832346738,"Stable","stable_up"
"GPR89B",0.2150205714238,3.26986652983418,1.76768200830957,0.111053580543734,0.852528932072607,-4.21343857950143,"Stable","stable_up"
"DPH5",0.170144094603478,3.12154966073922,1.70799436564447,0.121957990934785,0.85561240240808,-4.26488697706084,"Stable","stable_up"
"CD8A",0.140549106899774,7.46461007120065,1.17339391301684,0.270879049049803,0.901887330385515,-4.87146306628767,"Stable","stable_up"
"KLRG1",0.449082443719395,4.62070456810259,3.83134440673896,0.00405116223663549,0.825751139058368,-1.88090413349833,"Stable","stable_up"
"NDUFAF4",0.081220350254148,2.2881929875764,0.732991689513084,0.482294668809452,0.938247354182853,-4.89282076567181,"Stable","stable_up"
"RPL21P16",0.336616642070926,3.55588022835383,3.36568815629762,0.00836390883943772,0.825819064074335,-2.53106848183745,"Stable","stable_up"
"SPEF2",0.10585275530645,2.28595537186125,0.984165040630246,0.350856517544424,0.91576495154641,-4.76044702116677,"Stable","stable_up"
"ABCB1",0.0551624323417852,3.76414743623386,0.418740643658854,0.685262713081237,0.96476255631737,-5.29313560149113,"Stable","stable_up"
"SLFN5",0.0740895275808686,7.4975322284598,0.51280910460268,0.620484772288016,0.959121784152747,-5.32580322790676,"Stable","stable_up"
"DBI",0.224828734840816,4.46313808100407,2.31433082192241,0.0460262534536715,0.825819064074335,-3.62774623678816,"Stable","stable_up"
"CCDC14",0.226597732808628,4.20152913849094,1.70732913341583,0.12208488345596,0.85561240240808,-4.32337206404551,"Stable","stable_up"
"CFH",0.060446111897996,2.30549434512279,0.451373371199507,0.662444763637493,0.962844026862735,-5.00801134638467,"Stable","stable_up"
"SBDSP1",0.320081800541599,3.30333554937132,3.05063825336657,0.0138457547883321,0.825819064074335,-2.89753692593137,"Stable","stable_up"
"CD226",0.14845388402887,5.54801674062546,1.1768494284285,0.269565773056602,0.901887330385515,-4.91864921954385,"Stable","stable_up"
"SMIM30",0.286873218689015,2.14412239981414,2.3048166040992,0.0467473831719189,0.825819064074335,-3.80158202803523,"Stable","stable_up"
"BRIX1",0.321906394272736,3.00776651581457,3.16694529700525,0.0114823663234392,0.825819064074335,-2.86282098485667,"Stable","stable_up"
"ZNF528-AS1",0.0280052138480351,1.52849845061839,0.169701493102784,0.869013796170963,0.987843609599946,-4.91774188355449,"Stable","stable_up"
"LINC00861",0.0974365756525222,7.07294729453453,0.673859506353824,0.517401702151312,0.941667599512434,-5.26561003917314,"Stable","stable_up"
"SLIRP",0.0673806287210881,1.68446638205988,0.470020730994632,0.649567335209075,0.962109691237951,-4.88551865189089,"Stable","stable_up"
"ETAA1",0.0959022027782521,2.96383896765134,0.748640971426152,0.473262945763066,0.937167030695111,-4.99891228024471,"Stable","stable_up"
